Species;ID;Locality;Brazilian State;Latitude;Longitude;Altitude
G. darwinii;58348;Matias Cardoso;MG;-14.99;-43.95;464
G. darwinii;58323;Matias Cardoso;MG;-14.99;-43.95;464
G. darwinii;58335;Matias Cardoso;MG;-14.99;-43.95;464
G. geckoides;CHUNB56537;Milagres;CE;-7.29;-38.94;406
G. geckoides;CHUNB 61904;Santana do Cariri;CE;-7.21;-39.73;755
G. geckoides;58341;Manga;MG;-14.84;-43.99;477
G. geckoides;58337;Manga;MG;-14.84;-43.99;477
G. geckoides;58336;Manga;MG;-14.84;-43.99;477
G. geckoides;58338;Manga;MG;-14.84;-43.99;477
G. geckoides;CHUNB 61946;Junco do SeridÃ³;PA;-7;-36.71;627
G. geckoides;CHUNB56643;Mamanguape;PB;-6.8;-35.2;90
G. geckoides;CHUNB56644;Mamanguape;PB;-6.8;-35.2;90
G. geckoides;CHUNB56645;Mamanguape;PB;-6.8;-35.2;90
G. geckoides;CHUNB56697;Mamanguape;PB;-6.8;-35.2;90
G. geckoides;CHUNB 61905;Exu;PE;-7.43;-39.75;631
